"","date","Avg.baby3"
"766",1971-02-06,5
"767",1971-02-07,6
"768",1971-02-08,5
"769",1971-02-09,13
"770",1971-02-10,13
"771",1971-02-11,10
"772",1971-02-12,NA
"773",1971-02-13,NA
"774",1971-02-14,35
"775",1971-02-15,12
"776",1971-02-16,5
"777",1971-02-17,NA
"778",1971-02-18,14
"779",1971-02-19,11
"780",1971-02-20,10
"781",1971-02-21,8
"782",1971-02-22,7
"783",1971-02-23,10
"784",1971-02-24,7
"785",1971-02-25,13
"786",1971-02-26,4
"787",1971-02-27,8
"788",1971-02-28,8
"789",1971-03-01,11
"790",1971-03-02,10
"791",1971-03-03,18
"792",1971-03-04,14
"793",1971-03-05,4
"794",1971-03-06,15
"795",1971-03-07,6
"796",1971-03-08,4
"797",1971-03-09,NA
"798",1971-03-10,17
"799",1971-03-11,NA
"800",1971-03-12,18
"801",1971-03-13,8
"802",1971-03-14,NA
"803",1971-03-15,4
"804",1971-03-16,7
"805",1971-03-17,7
"806",1971-03-18,15
"807",1971-03-19,NA
"808",1971-03-20,19
"809",1971-03-21,6
"810",1971-03-22,14
"811",1971-03-23,11
"812",1971-03-24,7
"813",1971-03-25,NA
"814",1971-03-26,5
"815",1971-03-27,6
"816",1971-03-28,16
"817",1971-03-29,8
"818",1971-03-30,5
"819",1971-03-31,3
"820",1971-04-01,12
"821",1971-04-02,NA
"822",1971-04-03,5
"823",1971-04-04,6
"824",1971-04-05,7
"825",1971-04-06,6
"826",1971-04-07,14
"827",1971-04-08,4
"828",1971-04-09,22
"829",1971-04-10,10
"830",1971-04-11,NA
"831",1971-04-12,NA
"832",1971-04-13,7
"833",1971-04-14,4
"834",1971-04-15,19
"835",1971-04-16,10
"836",1971-04-17,3
"837",1971-04-18,9
"838",1971-04-19,12
"839",1971-04-20,11
"840",1971-04-21,4
"841",1971-04-22,11
"842",1971-04-23,NA
"843",1971-04-24,11
"844",1971-04-25,6
"845",1971-04-26,12
"846",1971-04-27,15
"847",1971-04-28,3
"848",1971-04-29,4
"849",1971-04-30,2
"850",1971-05-01,NA
"851",1971-05-02,1
"852",1971-05-03,9
"853",1971-05-04,12
"854",1971-05-05,1
"855",1971-05-06,7
"856",1971-05-07,9
"857",1971-05-08,2
"858",1971-05-09,3
"859",1971-05-10,4
"860",1971-05-11,17
"861",1971-05-12,4
"862",1971-05-13,6
"863",1971-05-14,9
"864",1971-05-15,NA
"865",1971-05-16,14
"866",1971-05-17,19
"867",1971-05-18,22
"868",1971-05-19,9
"869",1971-05-20,NA
"870",1971-05-21,9
"871",1971-05-22,2
"872",1971-05-23,2
"873",1971-05-24,5
"874",1971-05-25,10
"875",1971-05-26,5
"876",1971-05-27,19
"877",1971-05-28,16
"878",1971-05-29,5
"879",1971-05-30,5
"880",1971-05-31,9
"881",1971-06-01,16
"882",1971-06-02,5
"883",1971-06-03,4
"884",1971-06-04,20
"885",1971-06-05,12
"886",1971-06-06,8
"887",1971-06-07,19
"888",1971-06-08,4
"889",1971-06-09,8
"890",1971-06-10,29
"891",1971-06-11,7
"892",1971-06-12,5
"893",1971-06-13,6
"894",1971-06-14,7
"895",1971-06-15,6
"896",1971-06-16,6
"897",1971-06-17,2
"898",1971-06-18,11
"899",1971-06-19,6
"900",1971-06-20,14
"901",1971-06-21,7
"902",1971-06-22,NA
"903",1971-06-23,11
"904",1971-06-24,2
"905",1971-06-25,11
"906",1971-06-26,27
"907",1971-06-27,8
"908",1971-06-28,12
"909",1971-06-29,13
"910",1971-06-30,10
"911",1971-07-01,NA
"912",1971-07-02,7
"913",1971-07-03,3
"914",1971-07-04,6
"915",1971-07-05,3
"916",1971-07-06,11
"917",1971-07-07,15
"918",1971-07-08,10
"919",1971-07-09,9
"920",1971-07-10,7
"921",1971-07-11,19
"922",1971-07-12,7
"923",1971-07-13,6
"924",1971-07-14,7
"925",1971-07-15,6
"926",1971-07-16,8
"927",1971-07-17,4
"928",1971-07-18,11
"929",1971-07-19,13
"930",1971-07-20,8
"931",1971-07-21,7
"932",1971-07-22,5
"933",1971-07-23,6
"934",1971-07-24,7
"935",1971-07-25,18
"936",1971-07-26,NA
"937",1971-07-27,5
"938",1971-07-28,15
"939",1971-07-29,10
"940",1971-07-30,10
"941",1971-07-31,10
"942",1971-08-01,18
"943",1971-08-02,17
"944",1971-08-03,11
"945",1971-08-04,12
"946",1971-08-05,4
"947",1971-08-06,7
"948",1971-08-07,12
"949",1971-08-08,8
"950",1971-08-09,7
"951",1971-08-10,8
"952",1971-08-11,9
"953",1971-08-12,4
"954",1971-08-13,16
"955",1971-08-14,7
"956",1971-08-15,5
"957",1971-08-16,11
"958",1971-08-17,9
"959",1971-08-18,11
"960",1971-08-19,7
"961",1971-08-20,7
"962",1971-08-21,10
"963",1971-08-22,NA
"964",1971-08-23,9
"965",1971-08-24,5
"966",1971-08-25,NA
"967",1971-08-26,20
"968",1971-08-27,11
"969",1971-08-28,11
"970",1971-08-29,4
"971",1971-08-30,22
"972",1971-08-31,11
"973",1971-09-01,4
"974",1971-09-02,4
"975",1971-09-03,5
"976",1971-09-04,NA
"977",1971-09-05,3
"978",1971-09-06,6
"979",1971-09-07,12
"980",1971-09-08,NA
"981",1971-09-09,19
"982",1971-09-10,8
"983",1971-09-11,7
"984",1971-09-12,4
"985",1971-09-13,5
"986",1971-09-14,21
"987",1971-09-15,30
"988",1971-09-16,14
"989",1971-09-17,13
"990",1971-09-18,18
"991",1971-09-19,10
"992",1971-09-20,4
"993",1971-09-21,10
"994",1971-09-22,11
"995",1971-09-23,NA
"996",1971-09-24,15
"997",1971-09-25,4
"998",1971-09-26,3
"999",1971-09-27,4
"1000",1971-09-28,9
"1001",1971-09-29,7
"1002",1971-09-30,3
"1003",1971-10-01,11
"1004",1971-10-02,NA
"1005",1971-10-03,6
"1006",1971-10-04,12
"1007",1971-10-05,14
"1008",1971-10-06,12
"1009",1971-10-07,8
"1010",1971-10-08,6
"1011",1971-10-09,12
"1012",1971-10-10,15
"1013",1971-10-11,6
"1014",1971-10-12,5
"1015",1971-10-13,17
"1016",1971-10-14,14
"1017",1971-10-15,7
"1018",1971-10-16,17
"1019",1971-10-17,3
"1020",1971-10-18,11
"1021",1971-10-19,8
"1022",1971-10-20,14
"1023",1971-10-21,NA
"1024",1971-10-22,9
"1025",1971-10-23,NA
"1026",1971-10-24,14
"1027",1971-10-25,5
"1028",1971-10-26,18
"1029",1971-10-28,27
"1030",1971-10-29,NA
"1031",1971-10-30,8
"1032",1971-10-31,5
"1033",1971-11-01,4
"1034",1971-11-02,6
"1035",1971-11-03,1
"1036",1971-11-04,9
"1037",1971-11-05,26
"1038",1971-11-06,14
"1039",1971-11-07,6
"1040",1971-11-08,3
"1041",1971-11-09,11
"1042",1971-11-10,6
"1043",1971-11-11,14
"1044",1971-11-12,9
"1045",1971-11-13,8
"1046",1971-11-14,5
"1047",1971-11-15,NA
"1048",1971-11-16,7
"1049",1971-11-17,6
"1050",1971-11-18,19
"1051",1971-11-19,11
"1052",1971-11-20,28
"1053",1971-11-21,5
"1054",1971-11-22,5
